Component,Dominant_topic_cluster(s),Perc_contribution,Topic_keywords
artoz_pim-1,message-based,0.9999967813491821,message-list-write-value-connection-factory-field-result-local-request
artoz_pim-10,event-based,0.9995741844177246,event-action-listener-list-component-object-text-item-change-color
artoz_pim-11,event-based,0.9995741844177246,event-action-listener-list-component-object-text-item-change-color
artoz_pim-12,message-based / object-based,0.9999319911003113,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
artoz_pim-2,object-based / message-based,0.9090295732021332,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
artoz_pim-3,event-based / message-based,0.9972767233848572,message-list-write-value-connection-factory-field-result-local-request-message-list-write-value-connection-factory-field-result-local-request
artoz_pim-4,event-based / object-based,0.8791765570640564,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
artoz_pim-5,message-based,0.9997847080230713,message-list-write-value-connection-factory-field-result-local-request
artoz_pim-6,message-based,0.9999967217445374,message-list-write-value-connection-factory-field-result-local-request
artoz_pim-7,message-based,0.9999967217445374,message-list-write-value-connection-factory-field-result-local-request
artoz_pim-8,message-based,0.9999967217445374,message-list-write-value-connection-factory-field-result-local-request
artoz_pim-9,message-based,0.9999967217445374,message-list-write-value-connection-factory-field-result-local-request
ase4j-1,message-based / object-based,0.9999968409538269,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
ase4j-2,message-based,0.9811986088752747,message-list-write-value-connection-factory-field-result-local-request
ase4j-3,object-based,0.9141327142715454,object-type-value-attribute-key-stream-context-code-element-clazz
awindow-1,event-based,0.9991676211357117,event-action-listener-list-component-object-text-item-change-color
basic-clock-1,object-based,0.9997751116752625,object-type-value-attribute-key-stream-context-code-element-clazz
basic-typed-stack-1,object-based,0.999474048614502,object-type-value-attribute-key-stream-context-code-element-clazz
bits4j-1,message-based,0.8223904371261597,message-list-write-value-connection-factory-field-result-local-request
buckley-1,message-based / object-based,0.8979849219322205,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
buckley-10,message-based / event-based,0.9998214840888977,message-list-write-value-connection-factory-field-result-local-request-event-action-listener-list-component-object-text-item-change-colo
buckley-2,event-based / object-based,0.8455708920955658,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
buckley-3,object-based / message-based,0.9136422276496887,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
buckley-4,object-based / event-based,0.9999055862426758,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
buckley-5,event-based,0.9103320240974426,event-action-listener-list-component-object-text-item-change-color
buckley-6,event-based / object-based,0.8602193593978882,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
buckley-7,object-based / event-based,0.9998385906219482,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
buckley-8,event-based,0.9996228218078613,event-action-listener-list-component-object-text-item-change-color
buckley-9,object-based / event-based,0.9996298253536224,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
buildwall-ng-1,event-based,0.9650250673294067,event-action-listener-list-component-object-text-item-change-color
buildwall-ng-2,event-based,0.9998950958251953,event-action-listener-list-component-object-text-item-change-color
